time,час
information,інформація
people,люди
thing,річ
community,спільнота
man,чоловік
woman,жінка
way,шлях
life,життя
child,дитина
world,світ
school,школа
state,держава
family,родина
student,студент
group,група
country,країна
problem,проблема
hand,рука
part,частина
place,місце
case,справа
week,тиждень
company,компанія
system,система
program,прогама
question,запитання
work,робота
government,уряд
number,число
night,ніч
point,точка
home,дім
water,вода
room,кімната
mother,матір
area,площа
money,гроші
story,історія
fact,факт
month,місяць
lot,багато
right,правильно
study,вивчення
book,книга
eye,око
job,робота
word,слово
business,бізнес
issue,випуск
side,сторона
kind,доброзичливий
head,голова
house,дім
service,сервіс
friend,друг
father,батько
power,сила
hour,година
game,гра
line,лінія
end,кінець
member,учасник
law,закон
car,машина
city,місто
day,день
name,ім’я
president,президент
team,команда
minute,хвилина
idea,ідея
kid,дитина
body,тіло
year,рік
back,назад
parent,батьки
face,обличчя
others,інші
level,рівень
office,офіс
door,двері
health,здоров’я
person,особистість
art,мистецтво
war,війна
history,історія
party,вечірка
result,результат
change,зміна
morning,ранок
reason,причина
research,дослідження
girl,дівчина
guy,хлопець
moment,момент
air,повітря
teacher,вчитель
force,сила
education,освіта
be,бути
have,мати
do,робити
say,казати
go,йти
can,могти
get,отримувати
would,би
make,робити
know,знати
will,бажати
think,думати
take,брати
see,бачити
come,приходити
could,могти
want,хотіти
look,дивитися
use,використовувати
find,знаходити
give,діставати
tell,казати
work,працювати
may,могти
should,повинен
call,дзвонити
try,пробувати
ask,запитувати
need,потребувати
feel,почувати
become,ставати
leave,залишати
put,класти
mean,означати
keep,зберігати
let,дозволяти
begin,починати
seem,здається
help,допомагати
talk,говорити
turn,повернути
start,почати
might,могти
show,показувати
hear,чути
play,грати
run,бігти
move,рухатися
like,подобатися
live,жити
believe,вірити
hold,триматися
bring,приносити
happen,траплятися
must,мусити
write,писати
provide,забезпечити
sit,сидіти
stand,стояти
lose,програвати
pay,платити
meet,зустрічати
include,включати
continue,продовжувати
set,встановлювати
learn,вивчати
change,міняти
lead,приводити
understand,розуміти
watch,дивитися
follow,наслідувати
stop,зупиняти
create,творити
speak,говорити
read,читати
allow,дозволяти
add,додавати
spend,витратити
grow,рости
open,відкривати
walk,гуляти
win,перемагати
offer,пропонувати
remember,пам’ятати
love,любити
consider,розглянути
appear,з’являтися
buy,купити
wait,чекати
serve,служити
die,помирати
send,відправити
expect,очікувати
build,будувати
stay,залишатися
fall,падати
cut,різати
reach,досягати
kill,вбивати
remain,залишатися
other,інші
international,міжнародний
good,добре
high,високий
old,старий
great,чудово
big,великий
American,американець
small,маленький
large,великий
national,національний
young,молодий
different,різні
black,чорний
long,довгий
little,маленький
important,важливий
political,політичний
bad,поганий
white,білий
real,реальний
best,найкраще
right,правий
social,соціальний
only,тільки
public,публічно
sure,впевнено
low,низький
early,рано
able,здатний
human,людина
local,місцевий
late,пізно
hard,тяжко
major,важливіший
better,краще
economic,економний
strong,сильний
possible,можливий
whole,цілий
free,вільний
military,військовий
true,правдивий
federal,федеральний
new,новий
full,повний
special,спеціальний
easy,легкий
clear,чистий
recent,нещодавно
certain,певний
personal,персональний
open,відкритий
red,червоний
difficult,важкий
available,доступний
likely,швидше за все
short,короткий
single,одинокий
medical,медичний
current,сучасний
wrong,хибний
private,приватний
past,минулий
foreign,іноземний
fine,добре
common,загальний
poor,бідний
natural,природній
significant,значний
similar,подібний
hot,гарячий
dead,мертвий
central,центральний
happy,щасливий
serious,серйозний
ready,готовий
simple,простий
left,залишений
physical,фізичний
general,загальний
environmental,екологічний
financial,фінансовий
blue,синій
democratic,демократичний
dark,темний
various,різноманітний
entire,цілком
close,закритий
legal,законний
religious,релігійний
cold,холодний
final,фінальний
main,головний
green,зелений
nice,хороший
huge,великий
popular,популярний
traditional,традиційний
cultural,культурний
be,бути
there,там
now,зараз
of,від
would,би
then,потім
to,до
all,все
than,ніж
the,артикль
those,ті
it,воно
and,і
what,що
only,лише
that,це
if,якщо
come,прийти
in,в
up,вгору
look,дивитися
a,артикль
out,вийти
over,над
have,мати
so,отже
after,після
I,я
go,йти
also,також
you,ти
who,хто
back,повернутися
with,котрий
go,йти
how,як
for,для
which,котрий
use,використовувати
on,на
about,про
two,два
not,не
can,могти
think,думати
he,він
when,коли
our,наше
as,як
me,мені
well,добре
it,воно
make,робити
first,перший
do,робити
like,подобатись
way,шлях
at,в
time,час
work,робота
this,це
know,знати
because,тому що
by,по
just,лише
new,новий
her,її
him,його
want,хотіти
but,але
no,ні
even,навіть
from,з
take,брати
day,день
say,казати
people,люди
these,ці
we,ми
your,твій
give,дати
they,вони
year,рік
any,будь-який
his,його
into,в
most,більш
she,вона
good,добре
us,ми
my,моє
them,їх
yes,так
could,могти
will,бажати
some,дещо
or,або
see,бачити
one,один
other,інший
